Date,Close
11/23/2016,38.05
11/25/2016,38.08
11/28/2016,38.41
11/29/2016,38.54
11/30/2016,37.9
12/1/2016,37.4
12/2/2016,37.53
12/5/2016,38.13
12/6/2016,37.96
12/7/2016,38.56
12/8/2016,38.82
12/9/2016,39.46
12/12/2016,39.46
12/13/2016,39.81
12/14/2016,39.85
12/15/2016,39.89
12/16/2016,39.54
12/19/2016,39.71
12/20/2016,39.82
12/21/2016,39.73
12/22/2016,39.56
12/23/2016,39.5
12/27/2016,39.58
12/28/2016,39.25
12/29/2016,39.14
12/30/2016,38.59
1/3/2017,39.31
1/4/2017,39.35
1/5/2017,39.7
1/6/2017,40.31
1/9/2017,40.33
1/10/2017,40.24
1/11/2017,40.4
1/12/2017,40.32
1/13/2017,40.39
1/17/2017,40.23
1/18/2017,40.3
1/19/2017,40.11
1/20/2017,40.25
1/23/2017,40.97
1/24/2017,41.19
1/25/2017,41.78
1/26/2017,41.61
1/27/2017,41.17
1/30/2017,40.12
1/31/2017,39.84
2/1/2017,39.78
2/2/2017,39.93
2/3/2017,40.07
2/6/2017,40.07
2/7/2017,40.35
2/8/2017,40.42
2/9/2017,40.48
2/10/2017,40.68
2/13/2017,40.96
2/14/2017,41.02
2/15/2017,40.95
2/16/2017,41.21
2/17/2017,41.4
2/21/2017,41.58
2/22/2017,41.54
2/23/2017,41.57
2/24/2017,41.43
2/27/2017,41.46
2/28/2017,41.16
3/1/2017,41.76
3/2/2017,41.53
3/3/2017,41.45
3/6/2017,41.39
3/7/2017,41.6
3/8/2017,41.77
3/9/2017,41.93
3/10/2017,42.16
3/13/2017,42.28
3/14/2017,42.28
3/15/2017,42.36
3/16/2017,42.44
3/17/2017,42.61
3/20/2017,42.42
3/21/2017,41.52
3/22/2017,41.48
3/23/2017,40.88
3/24/2017,40.72
3/27/2017,40.98
3/28/2017,41.05
3/29/2017,41.57
3/30/2017,41.58
3/31/2017,41.48
4/3/2017,41.93
4/4/2017,41.73
4/5/2017,41.57
4/6/2017,41.39
4/7/2017,41.23
4/10/2017,41.24
4/11/2017,41.17
4/12/2017,41.22
4/13/2017,41.18
4/17/2017,41.86
4/18/2017,41.84
4/19/2017,41.91
4/20/2017,42.08
4/21/2017,42.16
4/24/2017,43.14
4/25/2017,43.62
4/26/2017,43.59
4/27/2017,43.71
4/28/2017,45.3
5/1/2017,45.63
5/2/2017,45.82
5/3/2017,46.35
5/4/2017,46.58
5/5/2017,46.36
5/8/2017,46.72
5/9/2017,46.61
5/10/2017,46.44
5/11/2017,46.53
